,linear_sorted,binary_sorted,jump_sorted,found,param_1_length,param_2_value
701,0.00010037422180175781,3.0994415283203125e-06,8.344650268554688e-06,False,8000,26681
702,5.91278076171875e-05,3.337860107421875e-06,8.106231689453125e-06,True,8000,14432
703,0.00021028518676757812,3.5762786865234375e-06,1.52587890625e-05,False,8000,55453
704,0.0002865791320800781,2.86102294921875e-06,1.9311904907226562e-05,True,8000,75739
705,0.00023603439331054688,3.0994415283203125e-06,1.6450881958007812e-05,False,8000,62406
706,0.000194549560546875,3.0994415283203125e-06,1.5020370483398438e-05,True,8000,50356
707,0.00011348724365234375,2.86102294921875e-06,1.0967254638671875e-05,False,8000,30806
708,7.82012939453125e-05,3.337860107421875e-06,6.67572021484375e-06,True,8000,20005
709,6.389617919921875e-05,3.5762786865234375e-06,5.9604644775390625e-06,False,8000,16778
710,6.818771362304688e-05,3.5762786865234375e-06,9.059906005859375e-06,True,8000,17878
711,4.1961669921875e-05,3.814697265625e-06,7.152557373046875e-06,False,8000,10578
712,0.00013017654418945312,3.5762786865234375e-06,1.1444091796875e-05,True,8000,32996
713,3.647804260253906e-05,3.337860107421875e-06,5.7220458984375e-06,False,8000,9769
714,0.0003082752227783203,3.337860107421875e-06,2.0265579223632812e-05,True,8000,79836
715,0.0001919269561767578,3.337860107421875e-06,1.4543533325195312e-05,False,8000,50061
716,0.0002810955047607422,3.337860107421875e-06,1.7404556274414062e-05,True,8000,75575
717,0.00015044212341308594,3.0994415283203125e-06,1.2874603271484375e-05,False,8000,38692
